LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
18001,3447,55,13513,Adams
18003,41572,690,186678,Allen
18005,8149,157,43175,Bartholomew
18007,1003,14,4886,Benton
18009,1358,32,6075,Blackford
18011,6904,103,36404,Boone
18013,1039,43,4532,Brown
18015,1932,20,8380,Carroll
18017,5982,108,21805,Cass
18019,13171,193,61514,Clark
18021,2646,47,12452,Clay
18023,4378,55,19529,Clinton
18025,1022,16,5219,Crawford
18027,3019,99,12737,Daviess
18029,5885,78,23911,Dearborn
18031,2897,92,12647,Decatur
18033,4378,85,18454,De Kalb
18035,10930,196,55752,Delaware
18037,6204,118,20976,Dubois
18039,29304,457,112893,Elkhart
18041,2842,64,11635,Fayette
18043,7755,179,39800,Floyd
18045,2168,47,8481,Fountain
18047,1700,35,6856,Franklin
18049,2005,42,9492,Fulton
18051,4435,93,15527,Gibson
18053,7221,177,31698,Grant
18055,2855,85,14288,Greene
18057,36447,416,205521,Hamilton
18059,8534,144,44636,Hancock
18061,4393,73,20098,Harrison
18063,17561,317,82574,Hendricks
18065,5889,107,24010,Henry
18067,10232,225,48972,Howard
18069,4015,81,20037,Huntington
18071,5074,74,19545,Jackson
18073,3851,53,16861,Jasper
18075,2004,32,8131,Jay
18077,3354,84,16660,Jefferson
18079,2345,49,11304,Jennings
18081,18354,384,87333,Johnson
18083,3753,90,15128,Knox
18085,9598,119,40531,Kosciusko
18087,2726,72,8805,Lagrange
18089,55208,1002,252958,Lake
18091,12372,220,59805,La Porte
18093,4714,121,19756,Lawrence
18095,13095,343,64582,Madison
18097,102842,1768,537653,Marion
18099,6201,116,26401,Marshall
18101,910,15,4104,Martin
18103,3914,68,18156,Miami
18105,12139,174,87689,Monroe
18107,4324,90,19130,Montgomery
18109,6727,141,32166,Morgan
18111,1121,36,4762,Newton
18113,5783,86,24419,Noble
18115,578,11,2596,Ohio
18117,1876,55,8345,Orange
18119,2105,58,11867,Owen
18121,1484,16,7417,Parke
18123,1862,37,9035,Perry
18125,1374,34,5398,Pike
18127,19271,324,86599,Porter
18129,2734,35,10839,Posey
18131,1199,47,5564,Pulaski
18133,3712,60,18637,Putnam
18135,2446,83,11054,Randolph
18137,3461,70,14386,Ripley
18139,1753,26,8478,Rush
18141,36893,564,175211,St. Joseph
18143,2694,55,12430,Scott
18145,4997,97,20098,Shelby
18147,2339,31,8681,Spencer
18149,2263,57,9993,Starke
18151,3974,59,15611,Steuben
18153,2135,43,9277,Sullivan
18155,805,8,4157,Switzerland
18157,22802,225,116629,Tippecanoe
18159,1655,46,7157,Tipton
18161,728,10,3431,Union
18163,22527,398,101153,Vanderburgh
18165,1728,44,7540,Vermillion
18167,12578,253,58806,Vigo
18169,3604,82,15606,Wabash
18171,833,15,2851,Warren
18173,7846,156,33018,Warrick
18175,2443,33,11150,Washington
18177,7148,201,34700,Wayne
18179,2947,81,12595,Wells
18181,3275,53,13381,White
18183,4049,42,15894,Whitley
